Status,Ticket ID,Priority,Support Channel,Issue Category,Agent Name,Created DateTime,SLA Resolve Due,SLA First Response Due,Resolution DateTime,First Response DateTime,Interaction Count,CSAT Score,Product Segment,Support Tier,Country,Resolution Hours,First Response Minutes,Single Touch Flag,Res SLA Breach,FR SLA Breach,Agent Joining Date,Experience Level,,
Closed,TKT-1012,Low,Email,Feature request,Kristos Westoll,2023-01-02 00:58:36,2023-01-04 00:58:36,2023-01-02 01:58:36,2023-01-04 00:31:52,2023-01-02 01:03:17,1,3,Custom software development,Tier 1,Republic of Ireland,47.55,5,1,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1016,Low,Email,Product setup,Kristos Westoll,2023-01-03 00:03:58,2023-01-05 00:03:58,2023-01-03 01:03:58,2023-01-04 12:03:06,2023-01-03 00:08:02,1,2,Other,Tier 1,Austria,35.99,4,1,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1018,Low,Phone,Product setup,Kristos Westoll,2023-01-03 15:32:02,2023-01-05 15:32:02,2023-01-03 15:34:02,2023-01-05 03:51:37,2023-01-03 15:34:00,2,3,Ready to use Software,Tier 1,Republic of Ireland,36.33,2,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1020,Medium,Chat,Product setup,Kristos Westoll,2023-01-03 09:37:54,2023-01-04 09:37:54,2023-01-03 09:39:54,2023-01-03 20:31:38,2023-01-03 09:41:55,6,,Other,Tier 1,Germany,10.9,4,0,0,1,2021-10-18,Mid-Level,,
Closed,TKT-1015,Medium,Email,Pricing and licensing,Connor Danielovitch,2023-01-03 03:09:39,2023-01-05 03:09:39,2023-01-03 04:09:39,2023-01-04 14:32:35,2023-01-03 07:09:16,10,4,Ready to use Software,Tier 1,Spain,35.38,240,0,0,1,2018-02-15,Senior,,
In Progress,TKT-1013,High,Phone,Product setup,Adolpho Messingham,2023-01-02 07:27:25,2023-01-04 07:27:25,2023-01-02 07:29:25,,2023-01-02 07:27:43,3,,Other,Tier 2,Italy,,0,0,,0,2020-05-15,Mid-Level,,
Closed,TKT-1017,Low,Email,Purchasing and invoicing,Sheela Cutten,2023-01-03 14:25:42,2023-01-05 14:25:42,2023-01-03 15:25:42,2023-01-04 01:55:57,2023-01-03 14:45:14,2,2,Ready to use Software,Tier 1,Greece,11.5,20,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1014,Low,Chat,Purchasing and invoicing,Bernard Beckley,2023-01-02 06:59:04,2023-01-03 06:59:04,2023-01-02 07:01:04,2023-01-02 22:45:33,2023-01-02 06:59:57,2,,Custom software development,Tier 1,Austria,15.77,1,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1019,Medium,Chat,Pricing and licensing,Michele Whyatt,2023-01-03 00:38:48,2023-01-04 00:38:48,2023-01-03 00:40:48,2023-01-05 12:47:56,2023-01-03 00:39:30,2,,Training and Consulting Services,Tier 2,Poland,60.15,1,0,1,0,2022-04-10,Junior,,
Closed,TKT-1021,Low,Email,Product setup,Bernard Beckley,2023-01-03 09:27:35,2023-01-05 09:27:35,2023-01-03 10:27:35,2023-01-04 10:16:32,2023-01-03 10:24:48,1,4,Training and Consulting Services,Tier 1,Czech Republic,24.82,57,1,0,0,2019-11-20,Senior,,
Closed,TKT-1024,Medium,Chat,Other,Bernard Beckley,2023-01-03 16:41:11,2023-01-04 16:41:11,2023-01-03 16:43:11,2023-01-03 23:52:18,2023-01-03 16:43:41,60,5,Custom software development,Tier 1,Czech Republic,7.19,2,0,0,1,2019-11-20,Senior,,
Closed,TKT-1025,Low,Chat,Bug report,Sheela Cutten,2023-01-03 04:50:04,2023-01-04 04:50:04,2023-01-03 04:52:04,2023-01-07 13:17:12,2023-01-03 04:50:05,3,3,Custom software development,Tier 1,Poland,104.45,0,0,1,0,2019-07-10,Senior,,
Closed,TKT-1026,Low,Chat,Bug report,Nicola Wane,2023-01-04 10:49:27,2023-01-05 10:49:27,2023-01-04 10:51:27,2023-01-04 23:37:37,2023-01-04 10:50:42,2,4,Ready to use Software,Tier 1,Bulgaria,12.8,1,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1027,Low,Chat,Training request,Bernard Beckley,2023-01-04 07:27:56,2023-01-05 07:27:56,2023-01-04 07:29:56,2023-01-05 04:41:41,2023-01-04 07:28:52,3,,Training and Consulting Services,Tier 1,United Kingdom,21.23,1,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1028,Low,Chat,Bug report,Kristos Westoll,2023-01-04 21:46:12,2023-01-05 21:46:12,2023-01-04 21:48:12,2023-01-05 13:28:20,2023-01-04 21:46:51,2,,Ready to use Software,Tier 1,Bulgaria,15.7,1,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1029,Medium,Chat,Feature request,Bernard Beckley,2023-01-04 09:12:41,2023-01-05 09:12:41,2023-01-04 09:14:41,2023-01-05 07:45:18,2023-01-04 09:13:35,60,5,Custom software development,Tier 1,Germany,22.54,1,0,0,0,2019-11-20,Senior,,
Closed,TKT-1030,Medium,Chat,Feature request,Connor Danielovitch,2023-01-04 19:36:58,2023-01-05 19:36:58,2023-01-04 19:38:58,2023-01-05 02:24:20,2023-01-04 19:37:56,5,4,Ready to use Software,Tier 1,Germany,6.79,1,0,0,0,2018-02-15,Senior,,
In Progress,TKT-1031,Low,Email,Feature request,Kristos Westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 19:08:24,,2023-01-04 18:13:04,4,,Ready to use Software,Tier 1,United Kingdom,,5,0,,0,2021-10-18,Mid-Level,,
Resolved,TKT-1032,Low,Email,Product setup,Heather Urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:47:17,2023-01-05 07:54:03,2023-01-04 13:20:44,2,,Other,Tier 2,Germany,19.11,33,0,0,0,2022-09-25,Junior,,
In Progress,TKT-1034,Low,Chat,Other,Connor Danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,,2023-01-04 19:07:35,9,,Training and Consulting Services,Tier 1,Germany,,1,0,,0,2018-02-15,Senior,,
In Progress,TKT-1035,High,Email,Training request,Connor Danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,,2023-01-04 06:07:00,7,,Training and Consulting Services,Tier 1,Germany,,39,0,,0,2018-02-15,Senior,,
Resolved,TKT-1037,Low,Email,Product setup,Sheela Cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-07 11:23:15,2023-01-05 12:34:20,1,,Custom software development,Tier 1,Poland,47.21,24,1,0,0,2019-07-10,Senior,,
Closed,TKT-1038,High,Chat,Other,Bernard Beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:20:55,2023-01-05 19:22:17,2023-01-05 04:19:42,3,3,Other,Tier 1,Italy,15.06,1,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1039,Medium,Chat,Purchasing and invoicing,Adolpho Messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 07:37:11,2023-01-05 05:18:01,3,,Custom software development,Tier 2,Poland,2.35,2,0,0,0,2020-05-15,Mid-Level,,
In Progress,TKT-1040,High,Chat,Bug report,Heather Urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,,2023-01-05 14:31:02,6,,Ready to use Software,Tier 2,Poland,,0,0,,0,2022-09-25,Junior,,
Closed,TKT-1041,Low,Chat,Product setup,Bernard Beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:01:54,2023-01-05 21:50:51,2023-01-05 03:04:27,8,2,Ready to use Software,Tier 1,Germany,18.85,5,0,0,1,2019-11-20,Senior,,
Closed,TKT-1043,High,Email,Pricing and licensing,Connor Danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:31:45,2023-01-06 17:14:14,2023-01-05 04:02:05,3,5,Custom software development,Tier 1,Italy,37.71,30,0,0,0,2018-02-15,Senior,,
Closed,TKT-1044,Low,Chat,Product setup,Kristos Westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:42,2023-01-07 00:07:33,2023-01-06 20:47:41,3,2,Custom software development,Tier 1,Italy,3.36,2,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1045,Medium,Email,Bug report,Kristos Westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-08 07:15:33,2023-01-06 20:58:30,4,,Ready to use Software,Tier 1,Slovenia,35.01,44,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1046,High,Email,Bug report,Sheela Cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-07 06:22:47,2023-01-06 15:35:55,1,,Custom software development,Tier 1,Poland,15.19,24,1,0,0,2019-07-10,Senior,,
In Progress,TKT-1047,Low,Email,Pricing and licensing,Bernard Beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,,2023-01-06 04:07:58,1,,Training and Consulting Services,Tier 1,Greece,,53,1,,0,2019-11-20,Senior,,
In Progress,TKT-1048,Low,Chat,Pricing and licensing,Bernard Beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,,2023-01-06 23:56:15,8,,Ready to use Software,Tier 1,Greece,,0,0,,0,2019-11-20,Senior,,
Closed,TKT-1049,Medium,Chat,Pricing and licensing,Sheela Cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:07:00,2023-01-11 05:34:05,2023-01-06 12:06:37,3,4,Custom software development,Tier 1,Poland,113.48,2,0,1,0,2019-07-10,Senior,,
Closed,TKT-1050,Low,Email,Product setup,Nicola Wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 02:13:52,2023-01-12 02:26:02,2023-01-07 01:33:11,6,4,Training and Consulting Services,Tier 1,Spain,121.2,19,0,1,0,2021-03-12,Mid-Level,,
